,Temperature (F),Wind Speed (mph),Humidity,Cloudiness,Latitude,Longitude
taltal,52.55,3.44,85.0,0.0,-25.41,-70.49
taoudenni,83.38,8.79,9.0,0.0,22.68,-3.98
taquari,62.55,0.85,97.0,22.0,-29.79,-51.87
tasiilaq,37.4,2.24,74.0,0.0,65.61,-37.64
tautira,78.33,2.24,74.0,90.0,-17.73,-149.15
tazovskiy,35.74,3.2,91.0,100.0,67.47,78.7
te anau,47.44,2.04,97.0,100.0,-45.41,167.72
teahupoo,78.33,2.24,74.0,90.0,-17.83,-149.27
teknaf,81.02,4.72,75.0,100.0,20.86,92.31
ternate,87.35,10.29,62.0,75.0,14.29,120.72
teruel,50.83,4.7,76.0,0.0,40.34,-1.11
tevaitoa,76.94,18.75,83.0,38.0,-16.78,-151.5
tevriz,46.97,2.59,84.0,0.0,57.51,72.4
thai binh,77.0,4.7,94.0,40.0,20.45,106.33
thompson,50.0,6.93,66.0,75.0,55.74,-97.86
tiarei,78.35,2.24,74.0,90.0,-17.53,-149.33
tigil,37.95,10.0,93.0,64.0,57.8,158.67
tiksi,24.74,19.84,81.0,100.0,71.64,128.87
torbay,55.51,24.16,93.0,90.0,47.66,-52.73
tortoli,64.4,29.97,59.0,5.0,39.93,9.66
totolapan,63.55,13.87,63.0,90.0,18.99,-98.92
touros,73.4,4.7,83.0,40.0,-5.2,-35.46
tres arroyos,44.72,7.96,57.0,0.0,-38.38,-60.28
troitskoye,56.4,2.44,68.0,0.0,52.98,84.68
tromso,27.86,14.99,63.0,0.0,69.65,18.96
tuatapere,53.01,7.0,92.0,100.0,-46.13,167.69
tuktoyaktuk,33.8,25.28,69.0,75.0,69.44,-133.03
tura,18.44,7.72,79.0,2.0,64.27,100.22
turukhansk,33.68,7.87,88.0,100.0,65.8,87.96
ucluelet,51.82,8.01,74.0,0.0,48.94,-125.55
ukiah,63.12,2.66,28.0,1.0,39.15,-123.21
ulaanbaatar,44.6,2.24,48.0,0.0,47.92,106.92
ulkan,33.56,8.05,83.0,100.0,57.24,107.32
ulladulla,55.31,18.34,76.0,75.0,-35.36,150.48
